MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Alley,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PoolQC,Fence,MiscFeature,YrSoldFac,SalePrice
20,RL,70,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,906,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,1965,1,384,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,None,TA,TA,No,Rec,Unf,None,Detchd,Unf,TA,TA,None,None,None,2008,129500
60,RL,85,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,998,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,2005,3,736,Y,147,21,0,0,0,0,0,7,2006,New,Partial,None,Ex,TA,No,GLQ,Unf,Gd,BuiltIn,Fin,TA,TA,None,None,None,2006,345000
20,RL,66,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,737,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,1962,1,352,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,None,TA,TA,No,ALQ,Unf,None,Detchd,Unf,TA,TA,None,None,None,2008,144000
20,RL,91,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,0,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,2006,3,840,Y,160,33,0,0,0,0,0,8,2007,New,Partial,None,Gd,TA,Av,Unf,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2007,279500
20,RL,109,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,733,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,1960,1,352,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,None,TA,TA,No,BLQ,Unf,Fa,Attchd,RFn,TA,TA,None,GdWo,None,2008,157000
45,RM,51,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,0,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,1991,2,576,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,None,TA,TA,No,Unf,Unf,None,Detchd,Unf,TA,TA,None,GdPrv,None,2007,132000
20,RL,87,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,578,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,1970,2,480,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,None,TA,TA,No,ALQ,Unf,TA,Attchd,Fin,TA,TA,None,None,Shed,2010,149000
90,RL,72,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,0,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,1967,2,516,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,None,None,None,None,None,None,None,CarPort,Unf,TA,TA,None,None,Shed,2006,90000
20,RL,66,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,646,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,2004,2,576,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,None,TA,TA,No,GLQ,Unf,None,Detchd,Unf,TA,TA,None,None,None,2008,159000
20,RL,70,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,504,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,1958,1,294,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,None,TA,TA,No,LwQ,Unf,None,Attchd,Unf,TA,TA,None,MnPrv,None,2009,139000
60,RL,101,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,0,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,2005,3,853,Y,240,154,0,0,0,0,0,11,2006,New,Partial,None,Ex,TA,Av,Unf,Unf,Gd,BuiltIn,RFn,TA,TA,None,None,None,2006,325300
45,RM,57,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,0,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,1930,1,280,N,0,0,205,0,0,0,0,6,2007,WD,Normal,Grvl,TA,TA,No,Unf,Unf,Gd,Attchd,Unf,TA,TA,None,GdPrv,None,2007,139400
20,RL,75,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,0,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,2002,2,534,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,None,Gd,TA,No,Unf,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2008,230000
120,RM,44,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,840,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,1976,2,572,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,None,Gd,TA,No,GLQ,Unf,TA,Attchd,Unf,TA,TA,None,None,None,2007,129900
20,RL,70,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,188,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,1968,1,270,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,None,TA,TA,Mn,Rec,ALQ,TA,Attchd,Unf,TA,TA,None,MnPrv,None,2010,154000
20,RL,110,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,0,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,2007,3,890,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,None,Gd,TA,No,Unf,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2009,256300
20,RL,60,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,234,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,2005,2,576,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,None,TA,TA,Mn,BLQ,Rec,None,Detchd,Unf,TA,TA,None,None,None,2010,134800
20,RL,98,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,1218,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,2008,3,772,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,None,Ex,TA,No,GLQ,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2010,306000
20,RL,47,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,1277,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,1957,1,319,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,None,TA,TA,Gd,BLQ,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2006,207500
30,RM,60,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,0,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,1920,1,240,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,None,TA,TA,No,Unf,Unf,None,Detchd,Unf,Fa,TA,None,None,None,2008,68500
70,C (all),50,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,0,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,1920,1,250,N,0,54,172,0,0,0,0,7,2008,WD,Normal,Pave,TA,TA,No,Unf,Unf,None,Detchd,Unf,TA,Fa,None,MnPrv,None,2008,40000
20,RL,53,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,0,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,1966,1,271,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,None,TA,TA,No,Unf,Unf,None,Attchd,Unf,TA,TA,None,MnPrv,None,2008,149350
20,RL,85,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,0,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,2007,2,484,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,None,Ex,TA,Av,Unf,Unf,None,Attchd,RFn,TA,TA,None,None,None,2008,179900
20,RL,70,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,1018,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,1959,2,447,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,None,TA,TA,No,Rec,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2010,165500
120,RL,60,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,1153,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,2005,2,556,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,None,Ex,TA,No,GLQ,Unf,Gd,Attchd,Fin,TA,TA,None,None,None,2007,277500
60,RL,108,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,0,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,2004,3,691,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,None,Ex,TA,Av,Unf,Unf,Gd,BuiltIn,Fin,TA,TA,None,None,None,2006,309000
20,RL,112,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,0,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,1995,2,672,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,None,Gd,TA,No,Unf,Unf,None,Attchd,Unf,TA,TA,None,None,None,2009,145000
20,RL,74,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,1213,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,1954,2,498,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,None,TA,TA,No,Rec,Unf,TA,Attchd,Fin,TA,TA,None,None,None,2009,153000
20,RL,68,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,731,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,1953,1,246,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,None,TA,TA,No,GLQ,Unf,None,Detchd,Unf,TA,TA,None,None,None,2010,109000
90,RL,65,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,0,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,0,0,0,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2008,82000
20,RL,84,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,643,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,1965,2,440,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,None,TA,TA,No,Rec,Unf,TA,Attchd,RFn,TA,TA,None,GdWo,None,2006,160000
20,RL,115,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,967,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,1959,1,308,P,0,104,0,0,0,0,0,7,2007,WD,Normal,None,TA,TA,Gd,BLQ,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2007,170000
85,RL,44,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,747,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,1983,2,504,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,None,Gd,TA,Av,ALQ,LwQ,None,Attchd,RFn,TA,Gd,None,MnPrv,None,2007,144000
20,RL,30,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,280,491,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,1977,1,308,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,None,Gd,TA,Av,LwQ,BLQ,None,Detchd,Unf,TA,TA,None,MnPrv,None,2008,130250
20,RL,70,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,179,506,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,1959,1,300,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,None,TA,TA,No,ALQ,BLQ,None,Attchd,RFn,TA,TA,None,None,None,2006,141000
120,RL,61,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,456,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,2005,2,576,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,None,Ex,TA,No,GLQ,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2010,319900
50,RL,48,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,1351,0,83,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,2003,2,670,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,None,Ex,TA,No,GLQ,Unf,Ex,Attchd,RFn,TA,TA,None,None,None,2009,239686
20,FV,84,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,24,0,1632,1656,GasA,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,2006,3,826,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,None,Gd,TA,Av,GLQ,Unf,None,Attchd,RFn,TA,TA,None,None,None,2007,249700
190,RM,33,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,0,0,736,736,GasA,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,0,0,0,N,0,0,102,0,0,0,0,6,2009,New,Partial,None,TA,TA,No,Unf,Unf,None,None,None,None,None,None,None,None,2009,113000
20,RL,66,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,763,0,192,955,GasA,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,1966,1,386,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,None,TA,TA,No,BLQ,Unf,None,Attchd,Unf,TA,TA,None,MnPrv,None,2007,127000
